name,sku,price,comparePrice,description,shortDescription,brand,status,quantity,condition,category,isFeatured,imageUrl
Pull-Up Bar Doorway,SPT-011,29.99,,"Heavy-duty doorway pull-up bar with foam grips, multiple grip positions, and no-screw installation.",Doorway pull-up bar with multi-grip,Iron Gym,ACTIVE,140,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Pull-Up%20Bar
Hiking Backpack 40L,SPT-012,79.99,99.99,"40-liter hiking backpack with hydration sleeve, rain cover, ventilated back panel, and hip belt.",40L hiking backpack with rain cover,Osprey,ACTIVE,55,new,sports,true,https://placehold.co/600x600/e2e8f0/64748b?text=Hiking%20Backpack
Kettlebell Cast Iron 25lb,SPT-013,44.99,,"25 lb cast iron kettlebell with wide handle, flat bottom, and powder-coated finish for durability.",25 lb cast iron powder-coated kettlebell,CAP Barbell,ACTIVE,100,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Kettlebell%20Cast
Tennis Racket Adult,SPT-014,89.99,109.99,"Pre-strung graphite tennis racket with oversized 105 sq in head, vibration dampener, and cover.",Graphite tennis racket with 105 sq in head,Wilson,ACTIVE,60,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Tennis%20Racket
Exercise Ball 65cm,SPT-015,18.99,,"Anti-burst exercise ball with hand pump, 65cm diameter, rated to 2000 lbs, and textured surface.",65cm anti-burst exercise ball with pump,URBNFit,ACTIVE,170,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Exercise%20Ball
Swim Goggles Anti-Fog,SPT-016,14.99,,"Anti-fog swim goggles with UV protection, adjustable silicone strap, and leak-proof seal.",Anti-fog UV protection swim goggles,Speedo,ACTIVE,240,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Swim%20Goggles
Sleeping Bag Mummy Style,SPT-017,69.99,84.99,"3-season mummy sleeping bag rated to 20F, compression sack, and draft collar for warmth.",3-season mummy sleeping bag rated to 20F,Kelty,ACTIVE,50,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Sleeping%20Bag
Ab Roller Wheel,SPT-018,16.99,,"Ab roller wheel with wide non-slip rubber tread, steel axle, and foam knee pad included.",Ab roller wheel with foam knee pad,Perfect Fitness,ACTIVE,190,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Ab%20Roller
Soccer Ball Official Size,SPT-019,24.99,,"FIFA-quality official size 5 soccer ball with thermal-bonded panels and high-visibility design.",Official size 5 thermal-bonded soccer ball,Adidas,ACTIVE,130,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Soccer%20Ball
Treadmill Foldable Home,SPT-020,299.99,,"Compact foldable treadmill with 2.5HP motor, 12 speed levels, LCD display, and phone holder.",Foldable 2.5HP home treadmill with LCD,NordicTrack,ACTIVE,15,new,sports,true,https://placehold.co/600x600/e2e8f0/64748b?text=Treadmill%20Foldable
Boxing Gloves 12oz,SPT-021,39.99,49.99,"12 oz synthetic leather boxing gloves with multi-layer foam padding, velcro wrist closure, and thumb lock.",12 oz padded boxing gloves with velcro,Everlast,ACTIVE,80,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Boxing%20Gloves
Fishing Rod and Reel Combo,SPT-022,54.99,,"Medium-action spinning rod and reel combo with graphite blank, stainless steel guides, and carrying case.",Spinning fishing rod and reel combo,Ugly Stik,ACTIVE,45,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Fishing%20Rod
Bike Lock Heavy Duty,SPT-023,34.99,,"U-lock bike lock with 14mm hardened steel shackle, mounting bracket, and 2 keys.",Heavy-duty U-lock bike lock,Kryptonite,ACTIVE,120,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Bike%20Lock
Yoga Block Set of 2,SPT-024,14.99,,"Set of 2 high-density EVA foam yoga blocks with beveled edges, 9x6x4 inches, and non-slip surface.",Set of 2 EVA foam yoga blocks,Gaiam,ACTIVE,250,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Yoga%20Block
Ski Goggles UV Protection,SPT-025,49.99,64.99,"Anti-fog ski goggles with dual-layer lens, UV400 protection, OTG design, and adjustable strap.",Anti-fog dual-lens UV ski goggles,OutdoorMaster,ACTIVE,65,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Ski%20Goggles
Compression Arm Sleeves,SPT-026,12.99,,"Pair of graduated compression arm sleeves with moisture-wicking fabric and UPF 50+ protection.",UPF 50+ compression arm sleeves pair,B-Driven Sports,ACTIVE,200,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Compression%20Arm
Golf Balls 12-Pack,SPT-027,29.99,,"12-pack premium golf balls with 3-piece urethane cover, low spin off the tee, and soft feel.",12-pack premium 3-piece urethane golf balls,Titleist,ACTIVE,160,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Golf%20Balls
Electric Scooter Foldable,SPT-028,279.99,,"Foldable electric scooter with 15 mph top speed, 15-mile range, LED headlight, and disc brake.",Foldable electric scooter 15mph 15mi range,Segway,ACTIVE,20,new,sports,true,https://placehold.co/600x600/e2e8f0/64748b?text=Electric%20Scooter
Badminton Racket Set,SPT-029,34.99,42.99,"4-player badminton set with 4 rackets, 3 shuttlecocks, net with poles, and carrying case.",4-player badminton set with net,Franklin Sports,ACTIVE,70,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Badminton%20Racket
Weight Lifting Gloves,SPT-030,19.99,,"Padded weight lifting gloves with wrist wrap support, breathable mesh back, and non-slip grip.",Padded weight lifting gloves with wrist wrap,RIMSports,ACTIVE,150,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Weight%20Lifting
